wl,flux
3000.000000000000,0.832893
3001.000000000000,0.733971
3002.000000000000,0.691409
3003.000000000000,0.700967
3004.000000000000,0.770248
3005.000000000000,0.830696
3006.000000000000,0.817849
3007.000000000000,0.766986
3008.000000000000,0.747061
3009.000000000000,0.777501
3010.000000000000,0.833089
3011.000000000000,0.855697
3012.000000000000,0.841658
3013.000000000000,0.843135
3014.000000000000,0.838914
3015.000000000000,0.820972
3016.000000000000,0.804700
3017.000000000000,0.771395
3018.000000000000,0.730019
3019.000000000000,0.669898
3020.000000000000,0.572517
3021.000000000000,0.563413
3022.000000000000,0.718609
3023.000000000000,0.843467
3024.000000000000,0.833919
3025.000000000000,0.770283
3026.000000000000,0.758107
3027.000000000000,0.834911
3028.000000000000,0.895957
3029.000000000000,0.877839
3030.000000000000,0.830258
3031.000000000000,0.809806
3032.000000000000,0.835131
3033.000000000000,0.876753
3034.000000000000,0.896379
3035.000000000000,0.902182
3036.000000000000,0.866015
3037.000000000000,0.782092
3038.000000000000,0.760488
3039.000000000000,0.812798
3040.000000000000,0.829711
3041.000000000000,0.803474
3042.000000000000,0.794423
3043.000000000000,0.825133
3044.000000000000,0.854081
3045.000000000000,0.864088
3046.000000000000,0.847092
3047.000000000000,0.795698
3048.000000000000,0.791070
3049.000000000000,0.837140
3050.000000000000,0.849680
3051.000000000000,0.854507
3052.000000000000,0.874373
3053.000000000000,0.858337
3054.000000000000,0.836388
3055.000000000000,0.846812
3056.000000000000,0.831727
3057.000000000000,0.753005
3058.000000000000,0.694816
3059.000000000000,0.716440
3060.000000000000,0.792681
3061.000000000000,0.862067
3062.000000000000,0.880234
3063.000000000000,0.845931
3064.000000000000,0.795094
3065.000000000000,0.762044
3066.000000000000,0.711257
3067.000000000000,0.675046
3068.000000000000,0.720419
3069.000000000000,0.799216
3070.000000000000,0.836071
3071.000000000000,0.825122
3072.000000000000,0.797150
3073.000000000000,0.801097
3074.000000000000,0.816644
3075.000000000000,0.795768
3076.000000000000,0.803368
3077.000000000000,0.829238
3078.000000000000,0.811056
3079.000000000000,0.804008
3080.000000000000,0.820546
3081.000000000000,0.815537
3082.000000000000,0.802133
3083.000000000000,0.813452
3084.000000000000,0.850357
3085.000000000000,0.883708
3086.000000000000,0.872935
3087.000000000000,0.822403
3088.000000000000,0.781377
3089.000000000000,0.758327
3090.000000000000,0.717497
3091.000000000000,0.665450
3092.000000000000,0.617516
3093.000000000000,0.614002
3094.000000000000,0.690037
3095.000000000000,0.740090
3096.000000000000,0.697316
3097.000000000000,0.664905
3098.000000000000,0.709516
3099.000000000000,0.714507
3100.000000000000,0.660093
3101.000000000000,0.636765
3102.000000000000,0.683364
3103.000000000000,0.777526
3104.000000000000,0.836222
3105.000000000000,0.828423
3106.000000000000,0.824626
3107.000000000000,0.867908
3108.000000000000,0.907173
3109.000000000000,0.897021
3110.000000000000,0.853855
3111.000000000000,0.841627
3112.000000000000,0.863388
3113.000000000000,0.871146
3114.000000000000,0.865901
3115.000000000000,0.877506
3116.000000000000,0.875311
3117.000000000000,0.831724
3118.000000000000,0.792311
3119.000000000000,0.784691
3120.000000000000,0.786319
3121.000000000000,0.791716
3122.000000000000,0.808895
3123.000000000000,0.839288
3124.000000000000,0.841201
3125.000000000000,0.803893
3126.000000000000,0.801414
3127.000000000000,0.836760
3128.000000000000,0.842935
3129.000000000000,0.823289
3130.000000000000,0.813566
3131.000000000000,0.821482
3132.000000000000,0.828795
3133.000000000000,0.817223
3134.000000000000,0.804506
3135.000000000000,0.816743
3136.000000000000,0.831559
3137.000000000000,0.852171
3138.000000000000,0.885593
3139.000000000000,0.897715
3140.000000000000,0.895420
3141.000000000000,0.895642
3142.000000000000,0.872315
3143.000000000000,0.822075
3144.000000000000,0.788806
3145.000000000000,0.794588
3146.000000000000,0.810909
3147.000000000000,0.806026
3148.000000000000,0.826497
3149.000000000000,0.874939
3150.000000000000,0.890593
3151.000000000000,0.878493
3152.000000000000,0.859745
3153.000000000000,0.853685
3154.000000000000,0.850556
3155.000000000000,0.845102
3156.000000000000,0.827449
3157.000000000000,0.783895
3158.000000000000,0.742443
3159.000000000000,0.740349
3160.000000000000,0.755052
3161.000000000000,0.732891
3162.000000000000,0.732096
3163.000000000000,0.794985
3164.000000000000,0.848091
3165.000000000000,0.846826
3166.000000000000,0.832524
3167.000000000000,0.821930
3168.000000000000,0.795360
3169.000000000000,0.801001
3170.000000000000,0.859742
3171.000000000000,0.906860
3172.000000000000,0.921262
3173.000000000000,0.917175
3174.000000000000,0.903654
3175.000000000000,0.898068
3176.000000000000,0.908793
3177.000000000000,0.891219
3178.000000000000,0.820047
3179.000000000000,0.738343
3180.000000000000,0.704334
3181.000000000000,0.722898
3182.000000000000,0.764044
3183.000000000000,0.789411
3184.000000000000,0.798579
3185.000000000000,0.815443
3186.000000000000,0.830582
3187.000000000000,0.839411
3188.000000000000,0.849227
3189.000000000000,0.859657
3190.000000000000,0.834554
3191.000000000000,0.769574
3192.000000000000,0.728146
3193.000000000000,0.734324
3194.000000000000,0.784589
3195.000000000000,0.816307
3196.000000000000,0.802132
3197.000000000000,0.811991
3198.000000000000,0.862823
3199.000000000000,0.869695
3200.000000000000,0.837180
3201.000000000000,0.841223
3202.000000000000,0.858820
3203.000000000000,0.871902
3204.000000000000,0.898528
3205.000000000000,0.914476
3206.000000000000,0.917017
3207.000000000000,0.917656
3208.000000000000,0.894117
3209.000000000000,0.844258
3210.000000000000,0.796489
3211.000000000000,0.768677
3212.000000000000,0.759767
3213.000000000000,0.747412
3214.000000000000,0.748772
3215.000000000000,0.791581
3216.000000000000,0.809873
3217.000000000000,0.797930
3218.000000000000,0.822625
3219.000000000000,0.855270
3220.000000000000,0.863384
3221.000000000000,0.847691
3222.000000000000,0.817324
3223.000000000000,0.822681
3224.000000000000,0.840116
3225.000000000000,0.823810
3226.000000000000,0.794869
3227.000000000000,0.763648
3228.000000000000,0.723425
3229.000000000000,0.706546
3230.000000000000,0.738697
3231.000000000000,0.790949
3232.000000000000,0.813070
3233.000000000000,0.786028
3234.000000000000,0.736520
3235.000000000000,0.721216
3236.000000000000,0.733737
3237.000000000000,0.766508
3238.000000000000,0.790942
3239.000000000000,0.778086
3240.000000000000,0.803889
3241.000000000000,0.834469
3242.000000000000,0.822997
3243.000000000000,0.821958
3244.000000000000,0.851412
3245.000000000000,0.886444
3246.000000000000,0.871634
3247.000000000000,0.809322
3248.000000000000,0.771755
3249.000000000000,0.800204
3250.000000000000,0.850847
3251.000000000000,0.863325
3252.000000000000,0.840431
3253.000000000000,0.816673
3254.000000000000,0.820153
3255.000000000000,0.858280
3256.000000000000,0.897107
3257.000000000000,0.913835
3258.000000000000,0.917427
3259.000000000000,0.914136
3260.000000000000,0.906140
3261.000000000000,0.901008
3262.000000000000,0.911231
3263.000000000000,0.916057
3264.000000000000,0.889661
3265.000000000000,0.871130
3266.000000000000,0.890401
3267.000000000000,0.915392
3268.000000000000,0.924800
3269.000000000000,0.925055
3270.000000000000,0.903096
3271.000000000000,0.863414
3272.000000000000,0.859423
3273.000000000000,0.885525
3274.000000000000,0.893155
3275.000000000000,0.885165
3276.000000000000,0.862159
3277.000000000000,0.846739
3278.000000000000,0.850110
3279.000000000000,0.854991
3280.000000000000,0.871469
3281.000000000000,0.886517
3282.000000000000,0.881771
3283.000000000000,0.886250
3284.000000000000,0.907327
3285.000000000000,0.910985
3286.000000000000,0.887209
3287.000000000000,0.855371
3288.000000000000,0.850114
3289.000000000000,0.880399
3290.000000000000,0.914988
3291.000000000000,0.919656
3292.000000000000,0.916003
3293.000000000000,0.933782
3294.000000000000,0.954553
3295.000000000000,0.950733
3296.000000000000,0.941916
3297.000000000000,0.945740
3298.000000000000,0.947605
3299.000000000000,0.951876
3300.000000000000,0.958444
3301.000000000000,0.942218
3302.000000000000,0.905022
3303.000000000000,0.891375
3304.000000000000,0.907334
3305.000000000000,0.895793
3306.000000000000,0.857672
3307.000000000000,0.860192
3308.000000000000,0.889783
3309.000000000000,0.906111
3310.000000000000,0.916737
3311.000000000000,0.925776
3312.000000000000,0.924207
3313.000000000000,0.912675
3314.000000000000,0.892150
3315.000000000000,0.877252
3316.000000000000,0.893101
3317.000000000000,0.913092
3318.000000000000,0.917013
3319.000000000000,0.919441
3320.000000000000,0.915091
3321.000000000000,0.891190
3322.000000000000,0.842172
3323.000000000000,0.814889
3324.000000000000,0.848679
3325.000000000000,0.896367
3326.000000000000,0.904529
3327.000000000000,0.890413
3328.000000000000,0.877340
3329.000000000000,0.851391
3330.000000000000,0.852080
3331.000000000000,0.873813
3332.000000000000,0.876694
3333.000000000000,0.892973
3334.000000000000,0.894850
3335.000000000000,0.851134
3336.000000000000,0.808686
3337.000000000000,0.821648
3338.000000000000,0.873100
3339.000000000000,0.888061
3340.000000000000,0.861539
3341.000000000000,0.843376
3342.000000000000,0.847706
3343.000000000000,0.879580
3344.000000000000,0.911726
3345.000000000000,0.925102
3346.000000000000,0.916100
3347.000000000000,0.877987
3348.000000000000,0.801391
3349.000000000000,0.730011
3350.000000000000,0.774019
3351.000000000000,0.872249
3352.000000000000,0.912152
3353.000000000000,0.905595
3354.000000000000,0.894556
3355.000000000000,0.906752
3356.000000000000,0.925505
3357.000000000000,0.924399
3358.000000000000,0.890174
3359.000000000000,0.821011
3360.000000000000,0.737735
3361.000000000000,0.694864
3362.000000000000,0.754667
3363.000000000000,0.860343
3364.000000000000,0.916692
3365.000000000000,0.915429
3366.000000000000,0.886489
3367.000000000000,0.866134
3368.000000000000,0.849315
3369.000000000000,0.824979
3370.000000000000,0.812047
3371.000000000000,0.790695
3372.000000000000,0.749934
3373.000000000000,0.759882
3374.000000000000,0.824779
3375.000000000000,0.891981
3376.000000000000,0.932131
3377.000000000000,0.926115
3378.000000000000,0.885153
3379.000000000000,0.821814
3380.000000000000,0.768867
3381.000000000000,0.794133
3382.000000000000,0.848953
3383.000000000000,0.843159
3384.000000000000,0.839412
3385.000000000000,0.883603
3386.000000000000,0.911324
3387.000000000000,0.889691
3388.000000000000,0.863318
3389.000000000000,0.886046
3390.000000000000,0.904272
3391.000000000000,0.867474
3392.000000000000,0.810671
3393.000000000000,0.786398
3394.000000000000,0.809027
3395.000000000000,0.858483
3396.000000000000,0.907432
3397.000000000000,0.932045
3398.000000000000,0.939626
3399.000000000000,0.941250
3400.000000000000,0.943762
3401.000000000000,0.928643
3402.000000000000,0.895495
3403.000000000000,0.872230
3404.000000000000,0.864628
3405.000000000000,0.872504
3406.000000000000,0.871704
3407.000000000000,0.854465
3408.000000000000,0.856794
3409.000000000000,0.863591
3410.000000000000,0.875718
3411.000000000000,0.895903
3412.000000000000,0.883586
3413.000000000000,0.838405
3414.000000000000,0.801619
3415.000000000000,0.810677
3416.000000000000,0.856826
3417.000000000000,0.884066
3418.000000000000,0.897826
3419.000000000000,0.923446
3420.000000000000,0.938559
3421.000000000000,0.921489
3422.000000000000,0.885131
3423.000000000000,0.855876
3424.000000000000,0.857841
3425.000000000000,0.872662
3426.000000000000,0.860597
3427.000000000000,0.853319
3428.000000000000,0.892804
3429.000000000000,0.940955
3430.000000000000,0.960302
3431.000000000000,0.945363
3432.000000000000,0.910001
3433.000000000000,0.877576
3434.000000000000,0.895444
3435.000000000000,0.940922
3436.000000000000,0.946772
3437.000000000000,0.921658
3438.000000000000,0.898582
3439.000000000000,0.859247
3440.000000000000,0.770939
3441.000000000000,0.716757
3442.000000000000,0.752171
3443.000000000000,0.781755
3444.000000000000,0.790214
3445.000000000000,0.818723
3446.000000000000,0.847908
3447.000000000000,0.888480
3448.000000000000,0.929069
3449.000000000000,0.934236
3450.000000000000,0.925137
3451.000000000000,0.902170
3452.000000000000,0.857010
3453.000000000000,0.848710
3454.000000000000,0.896909
3455.000000000000,0.935122
3456.000000000000,0.933274
3457.000000000000,0.907010
3458.000000000000,0.870521
3459.000000000000,0.857394
3460.000000000000,0.857228
3461.000000000000,0.842806
3462.000000000000,0.852021
3463.000000000000,0.897791
3464.000000000000,0.919158
3465.000000000000,0.885795
3466.000000000000,0.861032
3467.000000000000,0.890366
3468.000000000000,0.915821
3469.000000000000,0.915770
3470.000000000000,0.920286
3471.000000000000,0.918694
3472.000000000000,0.901481
3473.000000000000,0.878994
3474.000000000000,0.840844
3475.000000000000,0.787212
3476.000000000000,0.757081
3477.000000000000,0.791139
3478.000000000000,0.866667
3479.000000000000,0.920605
3480.000000000000,0.941995
3481.000000000000,0.947813
3482.000000000000,0.932872
3483.000000000000,0.900011
3484.000000000000,0.892820
3485.000000000000,0.911005
3486.000000000000,0.933671
3487.000000000000,0.948173
3488.000000000000,0.928404
3489.000000000000,0.875845
3490.000000000000,0.822433
3491.000000000000,0.821597
3492.000000000000,0.850418
3493.000000000000,0.857422
3494.000000000000,0.873014
3495.000000000000,0.868710
3496.000000000000,0.838185
3497.000000000000,0.828710
3498.000000000000,0.866781
3499.000000000000,0.918041
3500.000000000000,0.921471
3501.000000000000,0.907297
3502.000000000000,0.911737
3503.000000000000,0.925555
3504.000000000000,0.924827
3505.000000000000,0.905965
3506.000000000000,0.899071
3507.000000000000,0.909975
3508.000000000000,0.919535
3509.000000000000,0.901409
3510.000000000000,0.863340
3511.000000000000,0.860989
3512.000000000000,0.873817
3513.000000000000,0.848160
3514.000000000000,0.818598
3515.000000000000,0.834105
3516.000000000000,0.884027
3517.000000000000,0.918639
3518.000000000000,0.917011
3519.000000000000,0.893222
3520.000000000000,0.866673
3521.000000000000,0.852934
3522.000000000000,0.857114
3523.000000000000,0.839652
3524.000000000000,0.787728
3525.000000000000,0.757603
3526.000000000000,0.750452
3527.000000000000,0.789258
3528.000000000000,0.861640
3529.000000000000,0.897509
3530.000000000000,0.900352
3531.000000000000,0.897523
3532.000000000000,0.884146
3533.000000000000,0.879293
3534.000000000000,0.903005
3535.000000000000,0.914041
3536.000000000000,0.903556
3537.000000000000,0.900109
3538.000000000000,0.913379
3539.000000000000,0.931689
3540.000000000000,0.917384
3541.000000000000,0.887750
3542.000000000000,0.893185
3543.000000000000,0.925452
3544.000000000000,0.942567
3545.000000000000,0.935650
3546.000000000000,0.927347
3547.000000000000,0.911050
3548.000000000000,0.896764
3549.000000000000,0.919071
3550.000000000000,0.944506
3551.000000000000,0.944615
3552.000000000000,0.925252
3553.000000000000,0.892822
3554.000000000000,0.863607
3555.000000000000,0.868503
3556.000000000000,0.889718
3557.000000000000,0.892780
3558.000000000000,0.889919
3559.000000000000,0.899267
3560.000000000000,0.916762
3561.000000000000,0.921169
3562.000000000000,0.933692
3563.000000000000,0.945951
3564.000000000000,0.899250
3565.000000000000,0.800651
3566.000000000000,0.762607
3567.000000000000,0.816129
3568.000000000000,0.845831
3569.000000000000,0.784223
3570.000000000000,0.726818
3571.000000000000,0.761240
3572.000000000000,0.804819
3573.000000000000,0.823753
3574.000000000000,0.838311
3575.000000000000,0.850448
3576.000000000000,0.869493
3577.000000000000,0.891198
3578.000000000000,0.890977
3579.000000000000,0.875414
3580.000000000000,0.819883
3581.000000000000,0.739124
3582.000000000000,0.765652
3583.000000000000,0.841601
3584.000000000000,0.815733
3585.000000000000,0.726178
3586.000000000000,0.692577
3587.000000000000,0.718502
3588.000000000000,0.767094
3589.000000000000,0.812504
3590.000000000000,0.858642
3591.000000000000,0.899352
3592.000000000000,0.907285
3593.000000000000,0.889111
3594.000000000000,0.877641
3595.000000000000,0.884432
3596.000000000000,0.898900
3597.000000000000,0.913134
3598.000000000000,0.929339
3599.000000000000,0.946428
3600.000000000000,0.949589
3601.000000000000,0.926313
3602.000000000000,0.881136
3603.000000000000,0.856763
3604.000000000000,0.856006
3605.000000000000,0.844491
3606.000000000000,0.845583
3607.000000000000,0.858909
3608.000000000000,0.831683
