CFE_COR,CFE_ERR,CFE_EST,CFE_Sigma,FEH,LOGG,SPSPEC,TEFF
0.336,0.17,0.28919142875,0.332241444707,-1.8,4.434,spec-0269-51910-0353.fits,5850.0
-0.437,0.083,0.205227000398,0.236665957896,-1.191,4.508,spec-0271-51883-0031.fits,5217.0
1.17,0.364,1.73049630861,0.500421469029,-2.562,3.217,spec-0271-51883-0577.fits,6489.0
-0.131,0.066,0.775195075621,0.336690443807,-0.931,4.497,spec-0276-51909-0033.fits,5296.0
0.305,0.066,-0.136774065067,0.237683724333,-1.038,4.131,spec-0282-51658-0483.fits,6043.0
1.584,0.01,1.17137443855,0.584437720712,-1.805,3.369,spec-0283-51660-0388.fits,6765.0
0.245,0.147,0.340292445966,0.161338702593,-1.088,4.326,spec-0285-51663-0266.fits,5645.0
0.711,0.132,,,-1.152,3.937,spec-0286-51999-0334.fits,6726.0
0.24,0.135,-0.0144945825003,0.042662173647,-1.066,4.203,spec-0289-51990-0070.fits,5753.0
0.439,0.132,-0.0777586874243,0.431811336124,-1.184,3.693,spec-0293-51689-0043.fits,6206.0
0.187,0.117,0.686564116982,0.325098430206,-1.247,4.645,spec-0295-51985-0396.fits,5596.0
1.106,0.149,0.702968654593,0.3294327416,-1.01,3.838,spec-0297-51959-0088.fits,6136.0
2.005,0.01,2.76120468311,2.26790842974,-1.985,3.859,spec-0298-51955-0557.fits,6841.0
0.498,0.14,,,-1.104,3.839,spec-0300-51943-0340.fits,6071.0
0.299,0.146,,,-0.944,4.281,spec-0304-51609-0105.fits,6421.0
0.156,0.142,,,-0.99,4.317,spec-0304-51957-0603.fits,5981.0
0.221,0.071,-0.069816156139,0.0865551331141,-1.117,4.582,spec-0304-51957-0634.fits,5870.0
0.155,0.101,0.81158591249,0.29818106715,-1.004,4.68,spec-0305-51613-0294.fits,5512.0
0.479,0.111,,,-1.353,3.955,spec-0323-51615-0110.fits,6272.0
-0.351,0.098,,,-1.289,1.762,spec-0323-51615-0557.fits,5252.0
-0.011,0.078,0.504147557833,0.435140325992,-1.402,2.992,spec-0330-52370-0640.fits,5229.0
0.014,0.059,0.554385620622,0.389568376614,-1.76,4.583,spec-0422-51811-0260.fits,5248.0
-0.038,0.072,0.582402649782,0.429219173422,-1.425,4.492,spec-0427-51900-0285.fits,5260.0
0.111,0.085,0.49164402353,0.341700747336,-1.351,4.646,spec-0518-52282-0432.fits,5233.0
-0.212,0.054,0.671049384884,0.393562622923,-1.214,4.554,spec-0531-52028-0117.fits,5297.0
-0.12,0.056,0.658846008192,0.388058908476,-1.12,4.58,spec-0540-51996-0562.fits,5286.0
-0.032,0.066,0.834425975099,0.485007995466,-1.241,3.218,spec-0637-52174-0267.fits,5268.0
-0.178,0.054,0.818488944982,0.511889830732,-2.131,4.679,spec-0876-52346-0257.fits,5256.0
-0.036,0.095,0.298726998726,0.250103524754,-1.063,4.512,spec-0909-52379-0051.fits,5230.0
-0.241,0.045,0.219567542038,0.27628366172,-1.119,4.542,spec-1041-52724-0557.fits,5276.0
-0.345,0.074,0.202337087272,0.237396906083,-1.338,4.752,spec-1063-52591-0428.fits,5231.0
-0.006,0.093,0.807128477871,0.357594217302,-1.941,4.732,spec-1067-52616-0498.fits,5204.0
0.052,0.073,0.444652958849,0.320251984151,-1.304,4.644,spec-1073-52649-0578.fits,5245.0
0.021,0.056,0.225643039735,0.231088384938,-1.136,4.737,spec-1076-52914-0085.fits,5245.0
-0.317,0.07,0.352670758107,0.345169225501,-1.151,4.474,spec-1080-52614-0227.fits,5284.0
0.114,0.062,0.716762518309,0.375850414973,-1.207,4.69,spec-1082-52523-0579.fits,5251.0
